perp,time,close
0G,2025-09-17 18:00:00,1.618
0G,2025-09-18 18:00:00,2.7336
0G,2025-09-19 18:00:00,2.6998
0G,2025-09-20 18:00:00,2.659
0G,2025-09-21 18:00:00,3.2595
0G,2025-09-22 18:00:00,4.3265
0G,2025-09-23 18:00:00,5.3378
0G,2025-09-24 18:00:00,5.078
0G,2025-09-25 18:00:00,3.8182
0G,2025-09-26 18:00:00,3.6165
0G,2025-09-27 18:00:00,3.6583
0G,2025-09-28 18:00:00,3.6923
0G,2025-09-29 18:00:00,2.8289
0G,2025-09-30 18:00:00,2.4425
0G,2025-10-01 18:00:00,2.7651
0G,2025-10-02 18:00:00,2.6991
0G,2025-10-03 18:00:00,3.1516
0G,2025-10-04 18:00:00,2.9198
0G,2025-10-05 18:00:00,2.8883
0G,2025-10-06 18:00:00,3.0212
0G,2025-10-07 18:00:00,2.8718
0G,2025-10-08 18:00:00,2.8424
0G,2025-10-09 18:00:00,2.536
0G,2025-10-10 18:00:00,2.5926
0G,2025-10-11 18:00:00,2.2415
0G,2025-10-12 18:00:00,2.2632
0G,2025-10-13 18:00:00,2.3082
0G,2025-10-14 18:00:00,2.1949
0G,2025-10-15 18:00:00,2.1192
0G,2025-10-16 18:00:00,1.9926
0G,2025-10-17 18:00:00,1.8673
0G,2025-10-18 18:00:00,1.8283
0G,2025-10-19 18:00:00,1.8409
0G,2025-10-20 18:00:00,1.8678
0G,2025-10-21 18:00:00,1.9784
0G,2025-10-22 18:00:00,1.835
0G,2025-10-23 18:00:00,1.7638
0G,2025-10-24 18:00:00,1.7488
0G,2025-10-25 18:00:00,1.7425
0G,2025-10-26 18:00:00,1.7666
0G,2025-10-27 18:00:00,1.6177
0G,2025-10-28 18:00:00,1.6362
0G,2025-10-29 18:00:00,1.5078
0G,2025-10-30 18:00:00,1.2098
0G,2025-10-31 18:00:00,1.0945
0G,2025-11-01 18:00:00,1.0724
0G,2025-11-02 18:00:00,0.96587
0G,2025-11-03 18:00:00,1.2776
0G,2025-11-04 18:00:00,1.1369
0G,2025-11-05 18:00:00,1.1087
0G,2025-11-06 18:00:00,1.0148
0G,2025-11-07 18:00:00,1.08
0G,2025-11-08 18:00:00,1.3761
0G,2025-11-09 18:00:00,1.6214
0G,2025-11-10 18:00:00,1.4984
0G,2025-11-11 18:00:00,1.3562
0G,2025-11-12 18:00:00,1.2846
0G,2025-11-13 18:00:00,1.3028
ACE,2025-06-05 18:00:00,0.5599
ACE,2025-06-06 18:00:00,0.5348
ACE,2025-06-07 18:00:00,0.572
ACE,2025-06-08 18:00:00,0.5741
ACE,2025-06-09 18:00:00,0.5877
ACE,2025-06-10 18:00:00,0.6185
ACE,2025-06-11 18:00:00,0.6078
ACE,2025-06-12 18:00:00,0.5852
ACE,2025-06-13 18:00:00,0.5404
ACE,2025-06-14 18:00:00,0.5446
ACE,2025-06-15 18:00:00,0.5643
ACE,2025-06-16 18:00:00,0.5876
ACE,2025-06-17 18:00:00,0.5351
ACE,2025-06-18 18:00:00,0.5364
ACE,2025-06-19 18:00:00,0.5379
ACE,2025-06-20 18:00:00,0.5175
ACE,2025-06-21 18:00:00,0.4823
ACE,2025-06-22 18:00:00,0.4554
ACE,2025-06-23 18:00:00,0.4787
ACE,2025-06-24 18:00:00,0.5157
ACE,2025-06-25 18:00:00,0.498
ACE,2025-06-26 18:00:00,0.4934
ACE,2025-06-27 18:00:00,0.4956
ACE,2025-06-28 18:00:00,0.514
ACE,2025-06-29 18:00:00,0.5171
ACE,2025-06-30 18:00:00,0.5228
ACE,2025-07-01 18:00:00,0.492
ACE,2025-07-02 18:00:00,0.5208
ACE,2025-07-03 18:00:00,0.5046
ACE,2025-07-04 18:00:00,0.468
ACE,2025-07-05 18:00:00,0.45
ACE,2025-07-06 18:00:00,0.4731
ACE,2025-07-07 18:00:00,0.4777
ACE,2025-07-08 18:00:00,0.4876
ACE,2025-07-09 18:00:00,0.4961
ACE,2025-07-10 18:00:00,0.5105
ACE,2025-07-11 18:00:00,0.6053
ACE,2025-07-12 18:00:00,0.5528
ACE,2025-07-13 18:00:00,0.5858
ACE,2025-07-14 18:00:00,0.5506
ACE,2025-07-15 18:00:00,0.5743
ACE,2025-07-16 18:00:00,0.5813
ACE,2025-07-17 18:00:00,0.5891
ACE,2025-07-18 18:00:00,0.6117
ACE,2025-07-19 18:00:00,0.6191
ACE,2025-07-20 18:00:00,0.6618
ACE,2025-07-21 18:00:00,0.6546
ACE,2025-07-22 18:00:00,0.6406
ACE,2025-07-23 18:00:00,0.5898
ACE,2025-07-24 18:00:00,0.5722
ACE,2025-07-25 18:00:00,0.5667
