perp,time,fundingRate
0G,2025-09-22 16:00:00.001000+00:00,-0.0025352604
0G,2025-09-23 00:00:00.047000+00:00,-0.0006060581
0G,2025-09-23 08:00:00.038000+00:00,-0.0019598347
0G,2025-09-23 16:00:00.051000+00:00,-0.0006324317
0G,2025-09-24 00:00:00.067000+00:00,-0.0015032114
0G,2025-09-24 08:00:00.052000+00:00,-0.0006613514
0G,2025-09-24 16:00:00.040000+00:00,-0.000789747
0G,2025-09-25 00:00:00.226000+00:00,-0.0003234388
0G,2025-09-25 08:00:00.077000+00:00,-0.0005817767
0G,2025-09-25 16:00:00.033000+00:00,-0.0007105008
0G,2025-09-26 00:00:00.107000+00:00,-0.0012781464
0G,2025-09-26 08:00:00.009000+00:00,-0.0006362328
0G,2025-09-26 16:00:00.048000+00:00,-0.0006395789
0G,2025-09-27 00:00:00.099000+00:00,-0.0002365952
0G,2025-09-27 08:00:00.051000+00:00,-6.77137e-05
0G,2025-09-27 16:00:00.007000+00:00,-0.0001410791
0G,2025-09-28 00:00:00.025000+00:00,-0.0001555188
0G,2025-09-28 08:00:00.007000+00:00,-0.000195314
0G,2025-09-28 16:00:00.022000+00:00,-8.67053e-05
0G,2025-09-29 00:00:00.006000+00:00,1.599e-07
0G,2025-09-29 08:00:00.058000+00:00,-0.0001110484
0G,2025-09-29 16:00:00.050000+00:00,-7.89151e-05
0G,2025-09-30 00:00:00.020000+00:00,-0.0009394151
0G,2025-09-30 08:00:00.064000+00:00,-0.0003142999
0G,2025-09-30 16:00:00.051000+00:00,-0.0003502965
0G,2025-10-01 00:00:00.098000+00:00,-0.0008505975
0G,2025-10-01 08:00:00.041000+00:00,-0.0015621861
0G,2025-10-01 16:00:00.038000+00:00,-0.000379006
0G,2025-10-02 00:00:00.016000+00:00,-0.0002770204
0G,2025-10-02 08:00:00.063000+00:00,-0.000137736
0G,2025-10-02 16:00:00.033000+00:00,-0.0001277225
0G,2025-10-03 00:00:00.008000+00:00,-0.000203668
0G,2025-10-03 08:00:00.028000+00:00,-0.000536776
0G,2025-10-03 16:00:00.030000+00:00,-0.0003066988
0G,2025-10-04 00:00:00.006000+00:00,-0.0003082271
0G,2025-10-04 08:00:00.019000+00:00,-0.0001878282
0G,2025-10-04 16:00:00.016000+00:00,-0.0003101183
0G,2025-10-05 00:00:00.101000+00:00,-0.0004804436
0G,2025-10-05 08:00:00.014000+00:00,-0.0004206136
0G,2025-10-05 16:00:00.047000+00:00,-0.0004356416
0G,2025-10-06 00:00:00.043000+00:00,-0.0006890864
0G,2025-10-06 08:00:00.097000+00:00,-0.0006710981
0G,2025-10-06 16:00:00.064000+00:00,-0.0002872306
0G,2025-10-07 00:00:00.002000+00:00,-0.0003160935
0G,2025-10-07 08:00:00.014000+00:00,-0.0001740833
0G,2025-10-07 16:00:00.069000+00:00,6.6503e-06
0G,2025-10-08 00:00:00.010000+00:00,-4.12732e-05
0G,2025-10-08 08:00:00.026000+00:00,-9.67536e-05
0G,2025-10-08 16:00:00.119000+00:00,-3.88686e-05
0G,2025-10-09 00:00:00.053000+00:00,-0.000124354
0G,2025-10-09 08:00:00.110000+00:00,2.5094e-06
0G,2025-10-09 16:00:00.019000+00:00,-2.32472e-05
0G,2025-10-10 00:00:00.017000+00:00,-9.88149e-05
0G,2025-10-10 08:00:00.014000+00:00,-7.06745e-05
0G,2025-10-10 16:00:00.042000+00:00,-3.2802e-06
0G,2025-10-11 00:00:00.023000+00:00,-0.0004485616
0G,2025-10-11 08:00:00.013000+00:00,-0.00013784
0G,2025-10-11 16:00:00.129000+00:00,-0.0001196751
0G,2025-10-12 00:00:00.048000+00:00,-0.0001715666
0G,2025-10-12 08:00:00.128000+00:00,-8.94735e-05
0G,2025-10-12 16:00:00+00:00,-0.0001821228
0G,2025-10-13 00:00:00.022000+00:00,-0.0004559076
0G,2025-10-13 08:00:00.029000+00:00,-3.42077e-05
0G,2025-10-13 16:00:00.027000+00:00,-0.0001538329
0G,2025-10-14 00:00:00.054000+00:00,-6.2968e-06
0G,2025-10-14 08:00:00.001000+00:00,-4.89203e-05
0G,2025-10-14 16:00:00.021000+00:00,-8.75073e-05
0G,2025-10-15 00:00:00.106000+00:00,-9.19674e-05
0G,2025-10-15 08:00:00.090000+00:00,-2.06735e-05
0G,2025-10-15 16:00:00.002000+00:00,-0.0001397833
0G,2025-10-16 00:00:00.003000+00:00,-5.69646e-05
0G,2025-10-16 08:00:00.038000+00:00,-4.40157e-05
0G,2025-10-16 16:00:00.046000+00:00,-3.78601e-05
0G,2025-10-17 00:00:00.017000+00:00,-3.59755e-05
0G,2025-10-17 08:00:00.040000+00:00,-0.0001144001
0G,2025-10-17 16:00:00.040000+00:00,1.0201e-06
0G,2025-10-18 00:00:00.129000+00:00,-9.55355e-05
0G,2025-10-18 08:00:00.022000+00:00,-0.0001076833
0G,2025-10-18 16:00:00.107000+00:00,-0.0001706343
0G,2025-10-19 00:00:00.092000+00:00,-0.0001783586
0G,2025-10-19 08:00:00.041000+00:00,-7.41056e-05
0G,2025-10-19 16:00:00.015000+00:00,1.25e-05
0G,2025-10-20 00:00:00.001000+00:00,-3.33746e-05
0G,2025-10-20 08:00:00.102000+00:00,1.25e-05
0G,2025-10-20 16:00:00.065000+00:00,-4.6468e-05
0G,2025-10-21 00:00:00.019000+00:00,-0.0001536524
0G,2025-10-21 08:00:00.010000+00:00,-0.0012262792
0G,2025-10-21 16:00:00.042000+00:00,-0.0006534986
0G,2025-10-22 00:00:00.025000+00:00,-0.0010127709
0G,2025-10-22 08:00:00.062000+00:00,-0.0009922398
0G,2025-10-22 16:00:00.036000+00:00,-0.0005023351
0G,2025-10-23 00:00:00.009000+00:00,-0.0004415951
0G,2025-10-23 08:00:00.047000+00:00,-0.0003481296
0G,2025-10-23 16:00:00.077000+00:00,-0.000346011
0G,2025-10-24 00:00:00.027000+00:00,-0.0012725477
0G,2025-10-24 08:00:00.077000+00:00,-0.0003489674
0G,2025-10-24 16:00:00.171000+00:00,-0.0002820062
0G,2025-10-25 00:00:00.014000+00:00,-0.0001588752
0G,2025-10-25 08:00:00.043000+00:00,-0.0002487458
0G,2025-10-25 16:00:00.041000+00:00,-0.0001489552
0G,2025-10-26 00:00:00.032000+00:00,-0.0001070721
0G,2025-10-26 08:00:00.009000+00:00,-0.0001516798
