perp,time,close
0G,2025-09-22 19:00:00+00:00,4.6018
0G,2025-09-23 19:00:00+00:00,5.4028
0G,2025-09-24 19:00:00+00:00,5.0606
0G,2025-09-25 19:00:00+00:00,3.7512
0G,2025-09-26 19:00:00+00:00,3.5651
0G,2025-09-27 19:00:00+00:00,3.6327
0G,2025-09-28 19:00:00+00:00,3.6469
0G,2025-09-29 19:00:00+00:00,2.8966
0G,2025-09-30 19:00:00+00:00,2.4338
0G,2025-10-01 19:00:00+00:00,2.7245
0G,2025-10-02 19:00:00+00:00,2.7135
0G,2025-10-03 19:00:00+00:00,3.1927
0G,2025-10-04 19:00:00+00:00,2.9461
0G,2025-10-05 19:00:00+00:00,2.901
0G,2025-10-06 19:00:00+00:00,3.0304
0G,2025-10-07 19:00:00+00:00,2.8602
0G,2025-10-08 19:00:00+00:00,2.8094
0G,2025-10-09 19:00:00+00:00,2.5454
0G,2025-10-10 19:00:00+00:00,2.5658
0G,2025-10-11 19:00:00+00:00,2.193
0G,2025-10-12 19:00:00+00:00,2.2945
0G,2025-10-13 19:00:00+00:00,2.3335
0G,2025-10-14 19:00:00+00:00,2.1923
0G,2025-10-15 19:00:00+00:00,2.0556
0G,2025-10-16 19:00:00+00:00,1.995
0G,2025-10-17 19:00:00+00:00,1.8826
0G,2025-10-18 19:00:00+00:00,1.8362
0G,2025-10-19 19:00:00+00:00,1.8479
0G,2025-10-20 19:00:00+00:00,1.9382
0G,2025-10-21 19:00:00+00:00,1.9609
0G,2025-10-22 19:00:00+00:00,1.8285
0G,2025-10-23 19:00:00+00:00,1.7596
0G,2025-10-24 19:00:00+00:00,1.7609
0G,2025-10-25 19:00:00+00:00,1.7671
0G,2025-10-26 19:00:00+00:00,1.7765
0G,2025-10-27 19:00:00+00:00,1.6007
0G,2025-10-28 19:00:00+00:00,1.6083
0G,2025-10-29 19:00:00+00:00,1.4984
0G,2025-10-30 19:00:00+00:00,1.1937
0G,2025-10-31 19:00:00+00:00,1.1077
0G,2025-11-01 19:00:00+00:00,1.0679
0G,2025-11-02 19:00:00+00:00,0.95471
0G,2025-11-03 19:00:00+00:00,1.1952
0G,2025-11-04 19:00:00+00:00,1.1414
0G,2025-11-05 19:00:00+00:00,1.1107
0G,2025-11-06 19:00:00+00:00,1.0044
0G,2025-11-07 19:00:00+00:00,1.0806
0G,2025-11-08 19:00:00+00:00,1.3757
0G,2025-11-09 19:00:00+00:00,1.6263
0G,2025-11-10 19:00:00+00:00,1.4856
0G,2025-11-11 19:00:00+00:00,1.363
0G,2025-11-12 19:00:00+00:00,1.2876
0G,2025-11-13 19:00:00+00:00,1.2493
0G,2025-11-14 19:00:00+00:00,1.265
