token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur_no_funding,funding,pnl_eur
BNB,LONG,2025-06-05,2025-07-05,643.84,653.66,644.48384,653.00634,5.0,0.013223760583353086,0.0045,0.061618802916765435,-0.0012405586414625997,0.060378244275302834
XRP,LONG,2025-06-05,2025-07-05,2.1292,2.2139,2.1313291999999997,2.2116861,5.0,0.037702716220469557,0.0045,0.18401358110234778,0.03509033976618911,0.2191039208685369
BTC,LONG,2025-06-05,2025-07-05,101946.0,108133.0,102047.94599999998,108024.867,5.0,0.05856973348586573,0.0045,0.28834866742932863,0.03565681851717526,0.3240054859465039
VIRTUAL,SHORT,2025-06-05,2025-07-05,1.6795,1.5341,1.6778205,1.5356340999999998,5.0,0.0847447030239529,0.0045,0.41922351511976447,0.023156381122176065,0.4423798962419405
PEOPLE,SHORT,2025-06-05,2025-07-05,0.019583,0.017141,0.019563417,0.017158141,5.0,0.12294764253095465,0.0045,0.6102382126547733,0.030842885913002827,0.6410810985677762
SPX,SHORT,2025-06-05,2025-07-05,1.0921,1.2089,1.0910079000000001,1.2101089,5.0,-0.10916602895359409,0.0045,-0.5503301447679704,-0.0014782362833486301,-0.551808381051319
BNB,LONG,2025-06-06,2025-07-06,645.04,662.72,645.6850399999998,662.05728,5.0,0.02535638738044814,0.0045,0.1222819369022407,-0.0011506465169999914,0.12113129038524072
XRP,LONG,2025-06-06,2025-07-06,2.1741,2.2654,2.1762741,2.2631346,5.0,0.03991248161249531,0.0045,0.19506240806247654,0.03439637246594995,0.2294587805284265
LTC,LONG,2025-06-06,2025-07-06,86.799,87.491,86.88579899999999,87.403509,5.0,0.00595851112562144,0.0045,0.0252925556281072,0.041996204110472654,0.06728875973857985
VIRTUAL,SHORT,2025-06-06,2025-07-06,1.8051,1.546,1.8032949,1.5475459999999999,5.0,0.14182311501019615,0.0045,0.7046155750509808,0.022306293527863917,0.7269218685788448
PEOPLE,SHORT,2025-06-06,2025-07-06,0.018871,0.018,0.018852129,0.018017999999999996,5.0,0.04424587801197429,0.0045,0.21672939005987146,0.030081451761151224,0.2468108418210227
SPX,SHORT,2025-06-06,2025-07-06,1.0665,1.2502,1.0654335,1.2514501999999998,5.0,-0.17459250154983857,0.0045,-0.8774625077491929,-0.005016466030024397,-0.8824789737792172
BNB,LONG,2025-06-09,2025-07-09,659.27,668.95,659.9292699999999,668.28105,5.0,0.012655568376290071,0.0045,0.05877784188145036,0.001565139662808108,0.06034298154425847
LTC,LONG,2025-06-09,2025-07-09,88.479,90.393,88.56747899999999,90.302607,5.0,0.019591028440585998,0.0045,0.09345514220292998,0.041408801779494034,0.13486394398242402
XRP,LONG,2025-06-09,2025-07-09,2.2961,2.4219,2.2983960999999997,2.4194781,5.0,0.052681084866094394,0.0045,0.258905424330472,0.033379428560333886,0.29228485289080586
VIRTUAL,SHORT,2025-06-09,2025-07-09,1.9053,1.557,1.9033947,1.5585569999999997,5.0,0.18116983303568107,0.0045,0.9013491651784054,0.020507077621210148,0.9218562427996155
PEOPLE,SHORT,2025-06-09,2025-07-09,0.021251,0.019027,0.021229749,0.019046026999999997,5.0,0.10286141395265684,0.0045,0.5098070697632843,0.026506061319095206,0.5363131310823794
WIF,SHORT,2025-06-09,2025-07-09,0.93201,0.92323,0.93107799,0.9241532299999999,5.0,0.007437357637462878,0.0045,0.032686788187314395,0.023027023357479432,0.05571381154479382
BNB,LONG,2025-06-10,2025-07-10,666.82,675.66,667.48682,674.98434,5.0,0.011232461488902522,0.0045,0.05166230744451261,0.0028459734411010558,0.054508280885613665
XRP,LONG,2025-06-10,2025-07-10,2.2976,2.5021,2.2998976,2.4995979,5.0,0.08683008321761801,0.0045,0.42965041608809,0.033477616189107724,0.46312803227719773
LTC,LONG,2025-06-10,2025-07-10,91.819,92.569,91.91081899999999,92.476431,5.0,0.006153921879425488,0.0045,0.026269609397127438,0.03990789560389513,0.06617750500102257
VIRTUAL,SHORT,2025-06-10,2025-07-10,2.0548,1.6678,2.0527452000000004,1.6694677999999998,5.0,0.1867145518109118,0.0045,0.929072759054559,0.018448129141088718,0.9475208881956477
PEOPLE,SHORT,2025-06-10,2025-07-10,0.023736,0.020765,0.023712264,0.020785764999999998,5.0,0.12341710601737575,0.0045,0.6125855300868788,0.02366373254753321,0.636249262634412
TRB,SHORT,2025-06-10,2025-07-10,48.02,39.553,47.97198,39.592552999999995,5.0,0.17467336140805542,0.0045,0.8688668070402772,0.033133090529648766,0.9019998975699259
BNB,LONG,2025-06-11,2025-07-11,667.14,694.14,667.8071399999999,693.44586,5.0,0.03839240173442912,0.0045,0.1874620086721456,0.00325347075653459,0.1907154794286802
XRP,LONG,2025-06-11,2025-07-11,2.2866,2.8613,2.2888865999999997,2.8584386999999998,5.0,0.24883369058126348,0.0045,1.2396684529063176,0.03380849889347948,1.273476951799797
LTC,LONG,2025-06-11,2025-07-11,91.909,97.186,92.000909,97.08881400000001,5.0,0.05530276880199109,0.0045,0.27201384400995543,0.0398779177499268,0.3118917617598822
VIRTUAL,SHORT,2025-06-11,2025-07-11,2.167,1.7969,2.164833,1.7986968999999997,5.0,0.16912902750466208,0.0045,0.8411451375233104,0.01617355984824234,0.8573186973715528
PEOPLE,SHORT,2025-06-11,2025-07-11,0.022516,0.022797,0.022493484,0.022819797,5.0,-0.01450700122755542,0.0045,-0.0770350061377771,0.024762684535330322,-0.05227232160244678
SPX,SHORT,2025-06-11,2025-07-11,1.6671,1.6902,1.6654329,1.6918901999999998,5.0,-0.015886139873902864,0.0045,-0.08393069936951432,-0.023043858731234382,-0.1069745581007487
BNB,LONG,2025-06-12,2025-07-12,657.99,684.31,658.6479899999999,683.62569,5.0,0.037922684619442974,0.0045,0.18511342309721487,0.0033736182475179203,0.1884870413447328
XRP,LONG,2025-06-12,2025-07-12,2.2029,2.7397,2.2051029,2.7369603000000002,5.0,0.24119391435202422,0.0045,1.2014695717601211,0.04328566381054144,1.2447552355706626
LTC,LONG,2025-06-12,2025-07-12,87.449,92.898,87.53644899999999,92.80510199999999,5.0,0.060188105185760975,0.0045,0.2964405259288049,0.043499904014218126,0.339940429943023
VIRTUAL,SHORT,2025-06-12,2025-07-12,1.9122,1.7237,1.9102877999999999,1.7254237,5.0,0.09677290510885322,0.0045,0.4793645255442661,0.014830136693067923,0.49419466223733405
PEOPLE,SHORT,2025-06-12,2025-07-12,0.020225,0.020951,0.020204775,0.020971951,5.0,-0.03797003431119613,0.0045,-0.19435017155598067,0.02752797226856028,-0.1668221992874204
TRB,SHORT,2025-06-12,2025-07-12,42.868,39.931,42.825132,39.97093099999999,5.0,0.0666478039110308,0.0045,0.328739019555154,0.03665265015940873,0.3653916697145627
XRP,LONG,2025-06-13,2025-07-13,2.1212,2.8485,2.1233212,2.8456515000000002,5.0,0.34018889841065986,0.0045,1.6964444920532993,0.05164305951895079,1.74808755157225
BNB,LONG,2025-06-13,2025-07-13,650.85,691.74,651.5008499999999,691.04826,5.0,0.06070200829361947,0.0045,0.29901004146809734,0.004129405108458418,0.3031394465765558
LTC,LONG,2025-06-13,2025-07-13,84.69,96.54,84.77468999999999,96.44346,5.0,0.13764450215034713,0.0045,0.6837225107517357,0.04619663467107341,0.7299191454228091
VIRTUAL,SHORT,2025-06-13,2025-07-13,1.8323,1.7342,1.8304677,1.7359341999999998,5.0,0.05164445130607891,0.0045,0.25372225653039454,0.015220749463511428,0.26894300599390597
