signal_date,symbol,prediction,side,daily_rank
2025-10-10,LTC,0.8760172324698116,1,1
2025-10-10,BTC,0.8362213377443519,1,2
2025-10-10,BIGTIME,0.8164643746954338,1,3
2025-10-10,TST,0.1138857903636359,-1,4
2025-10-10,AVNT,0.1552185656010658,-1,5
2025-10-10,CAKE,0.1577266581842127,-1,6
2025-10-11,BNB,0.8736949463432129,1,1
2025-10-11,BTC,0.8606959823379368,1,2
2025-10-11,SOL,0.8305041710485288,1,3
2025-10-11,TST,0.1664762221294249,-1,4
2025-10-11,STRK,0.1668789845158496,-1,5
2025-10-11,WLD,0.1855475362066977,-1,6
2025-10-12,XRP,0.9183578523371672,1,1
2025-10-12,BNB,0.8959697010399812,1,2
2025-10-12,BTC,0.8755200980173405,1,3
2025-10-12,SNX,0.1226688253220428,-1,4
2025-10-12,AVNT,0.1294600268217619,-1,5
2025-10-12,YGG,0.1668377773628292,-1,6
2025-10-13,BNB,0.9204462786209682,1,1
2025-10-13,BTC,0.8989365040047177,1,2
2025-10-13,ETH,0.8783334118577301,1,3
2025-10-13,ZEREBRO,0.1453850245681654,-1,4
2025-10-13,ETHFI,0.1516511296693583,-1,5
2025-10-13,ZORA,0.152476244850085,-1,6
2025-10-14,HBAR,0.8934536690044479,1,1
2025-10-14,XRP,0.8582412295442275,1,2
2025-10-14,ALGO,0.8549049085920218,1,3
2025-10-14,AVNT,0.1380054424559723,-1,4
2025-10-14,ZEC,0.1751633691690985,-1,5
2025-10-14,MERL,0.1852616164059792,-1,6
2025-10-15,BNB,0.8519061888888803,1,1
2025-10-15,BTC,0.8355812334634334,1,2
2025-10-15,PAXG,0.8263190749169437,1,3
2025-10-15,SNX,0.0842579754661917,-1,4
2025-10-15,MAV,0.113302488500824,-1,5
2025-10-15,FET,0.1228871034193942,-1,6
2025-10-16,TRX,0.9245120089572396,1,1
2025-10-16,POLYX,0.8858288247371828,1,2
2025-10-16,POL,0.8174964087984302,1,3
2025-10-16,FET,0.095915175767354,-1,4
2025-10-16,CAKE,0.1386240709803513,-1,5
2025-10-16,SNX,0.1390259859974249,-1,6
2025-10-17,BTC,0.9459332690733878,1,1
2025-10-17,TRX,0.9197846602867908,1,2
2025-10-17,POLYX,0.8969505333103711,1,3
2025-10-17,SNX,0.0996448185104791,-1,4
2025-10-17,MAV,0.1244072643477144,-1,5
2025-10-17,OM,0.1280033611079414,-1,6
2025-10-18,BTC,0.9092987375957802,1,1
2025-10-18,ANIME,0.9032572460634608,1,2
2025-10-18,POLYX,0.8903248190460517,1,3
2025-10-18,FET,0.08890628215454,-1,4
2025-10-18,ZEREBRO,0.1033964619993602,-1,5
2025-10-18,SNX,0.1119852460465187,-1,6
2025-10-19,TRX,0.942285487281002,1,1
2025-10-19,BTC,0.931212287449302,1,2
2025-10-19,XLM,0.9071084337757566,1,3
2025-10-19,SNX,0.0957739764443696,-1,4
2025-10-19,FET,0.1213471952496972,-1,5
2025-10-19,OM,0.1424838811420952,-1,6
2025-10-20,BNB,0.8859078119472861,1,1
2025-10-20,ETH,0.8627455160267944,1,2
2025-10-20,SAND,0.8606464728606006,1,3
2025-10-20,YGG,0.1352258616914375,-1,4
2025-10-20,RSR,0.1492628612823672,-1,5
2025-10-20,STBL,0.1539032214079727,-1,6
2025-10-21,BTC,0.9454579495799535,1,1
2025-10-21,ALGO,0.8863662866100316,1,2
2025-10-21,XLM,0.8655685314140922,1,3
2025-10-21,FET,0.1003825832158442,-1,4
2025-10-21,AVNT,0.1436872271708339,-1,5
2025-10-21,FTT,0.1708488877021431,-1,6
2025-10-22,BTC,0.971876715356234,1,1
2025-10-22,TRX,0.93119980738043,1,2
2025-10-22,POLYX,0.9108914163341172,1,3
2025-10-22,FET,0.0988998281722057,-1,4
2025-10-22,SNX,0.1014091531983267,-1,5
2025-10-22,TST,0.1217569722041316,-1,6
2025-10-23,TRX,0.9740307554422226,1,1
2025-10-23,BTC,0.9623047425569224,1,2
2025-10-23,ALGO,0.8852682621837937,1,3
2025-10-23,SNX,0.0506930404180486,-1,4
2025-10-23,TST,0.1098537541285949,-1,5
2025-10-23,ZEN,0.1116818644239544,-1,6
2025-10-24,BTC,0.9372048343927444,1,1
2025-10-24,GAS,0.91896344695543,1,2
2025-10-24,ADA,0.878321922910925,1,3
2025-10-24,SNX,0.0886509484073356,-1,4
2025-10-24,SPX,0.1539472526455296,-1,5
2025-10-24,FARTCOIN,0.15594199277259,-1,6
2025-10-25,XRP,0.939141080162536,1,1
2025-10-25,ETH,0.926063206800932,1,2
2025-10-25,XLM,0.9117727170799133,1,3
2025-10-25,BRETT,0.1017548783410896,-1,4
2025-10-25,SNX,0.1498188476647622,-1,5
2025-10-25,AVNT,0.1530956237725263,-1,6
2025-10-26,BTC,0.956354383826586,1,1
2025-10-26,XLM,0.9423651784358792,1,2
2025-10-26,LTC,0.906938723304346,1,3
2025-10-26,SNX,0.0915747127355064,-1,4
2025-10-26,FET,0.1299125927641485,-1,5
2025-10-26,AVNT,0.1793869043851363,-1,6
2025-10-27,ETH,0.9578859523276518,1,1
2025-10-27,BTC,0.9222943164824944,1,2
2025-10-27,HBAR,0.868317975973357,1,3
2025-10-27,SNX,0.0618199984333409,-1,4
2025-10-27,MAVIA,0.0863597432037148,-1,5
2025-10-27,BANANA,0.1577711333766224,-1,6
2025-10-28,BTC,0.9471279983424452,1,1
2025-10-28,ETH,0.9352869378130414,1,2
2025-10-28,XRP,0.9162038017835296,1,3
2025-10-28,SNX,0.0922362388218302,-1,4
2025-10-28,TST,0.1046716453803235,-1,5
2025-10-28,MERL,0.1487603797837816,-1,6
2025-10-29,BTC,0.9589790820858748,1,1
2025-10-29,XRP,0.9177854562964244,1,2
2025-10-29,POLYX,0.8802523791010278,1,3
2025-10-29,SNX,0.0904276271924027,-1,4
2025-10-29,MERL,0.097740851032516,-1,5
2025-10-29,YGG,0.1061181299969732,-1,6
2025-10-30,LTC,0.8769184497433783,1,1
2025-10-30,GAS,0.8761883486851378,1,2
2025-10-30,SOL,0.8522119442584953,1,3
2025-10-30,SNX,0.067361662117707,-1,4
2025-10-30,TST,0.1246443812168582,-1,5
2025-10-30,ETHFI,0.1802729247951833,-1,6
2025-10-31,BTC,0.9208146081896712,1,1
2025-10-31,BNB,0.8868435080489634,1,2
2025-10-31,SOL,0.8778801434313566,1,3
2025-10-31,SNX,0.0590041508556303,-1,4
2025-10-31,YGG,0.1039771232602091,-1,5
2025-10-31,TST,0.1375877477768866,-1,6
2025-11-01,BTC,0.951320578154985,1,1
2025-11-01,SOL,0.9383863614226882,1,2
2025-11-01,XRP,0.9290952346701148,1,3
2025-11-01,SNX,0.0692508928645466,-1,4
2025-11-01,0G,0.1232850020115369,-1,5
2025-11-01,ZK,0.1272410481537055,-1,6
2025-11-02,BTC,0.9131771464304728,1,1
2025-11-02,ETC,0.9024388146669604,1,2
2025-11-02,BCH,0.9023281547028436,1,3
2025-11-02,SNX,0.070816792780132,-1,4
2025-11-02,MAVIA,0.0735691945401623,-1,5
2025-11-02,EIGEN,0.1221377198622292,-1,6
2025-11-03,BTC,0.9732135026966644,1,1
2025-11-03,ETH,0.937899128461882,1,2
2025-11-03,XRP,0.9320990428972254,1,3
2025-11-03,TST,0.1453420466932924,-1,4
2025-11-03,AI16Z,0.1477860843765677,-1,5
2025-11-03,ZEREBRO,0.1535218402247232,-1,6
2025-11-04,BTC,0.978148046655934,1,1
2025-11-04,BNB,0.9053770880195494,1,2
2025-11-04,ETH,0.9004292730130149,1,3
2025-11-04,ZK,0.0823977216052249,-1,4
2025-11-04,SNX,0.0834792099990696,-1,5
2025-11-04,MINA,0.1279572159462223,-1,6
2025-11-05,TRX,0.9378039076770548,1,1
2025-11-05,BTC,0.8757475767986981,1,2
2025-11-05,POL,0.8573854842410599,1,3
2025-11-05,AI16Z,0.1398771692101116,-1,4
2025-11-05,YGG,0.1534563773543286,-1,5
2025-11-05,MAVIA,0.1751403282941406,-1,6
2025-11-06,BTC,0.9589260308798068,1,1
2025-11-06,XRP,0.938906753051537,1,2
2025-11-06,SOL,0.9016999788442996,1,3
2025-11-06,MAVIA,0.0639259626526591,-1,4
2025-11-06,ZEN,0.1152077543600296,-1,5
2025-11-06,DYM,0.1415841392952931,-1,6
2025-11-07,BTC,0.9110266714405376,1,1
2025-11-07,ETC,0.8536536187343572,1,2
