day,time,token,side,amount,notional_liquidated,qty_closed,entry_price,liquidation_price,fee,opened_at,holding_hours
2025-10-12,2025-10-12 19:00:00+00:00,SNX,short,-8.210573400369164,18.210573400369164,10.606815939922994,0.94279,1.7168746496134044,0.0,2025-10-12 00:00:00+00:00,19.0
2025-10-15,2025-10-15 05:00:00+00:00,YGG,short,-8.18211031746833,18.18211031746833,89.27774305865547,0.11201,0.20365781766596278,0.0,2025-10-12 00:00:00+00:00,77.0
2025-11-01,2025-11-01 07:00:00+00:00,ZEN,short,-8.183999620506802,18.1839996205068,0.9122422915526364,10.962,19.933300383999555,0.0,2025-10-23 00:00:00+00:00,223.0
2025-11-01,2025-11-01 22:00:00+00:00,ZK,short,-8.167328113233866,18.167328113233864,346.1884650003462,0.028886,0.052478143987887346,0.0,2025-11-01 00:00:00+00:00,22.0
2025-11-04,2025-11-04 03:00:00+00:00,ZEC,short,-8.036216185402335,18.036216185402335,0.04011553273427471,249.28,449.6067970697094,0.0,2025-10-14 00:00:00+00:00,507.0
2025-11-07,2025-11-07 19:00:00+00:00,MINA,short,-8.045246402762096,18.045246402762096,86.65511265164645,0.1154,0.2082421434878746,0.0,2025-11-04 00:00:00+00:00,91.0
2025-11-08,2025-11-08 12:00:00+00:00,0G,short,-5.047821841553813,15.047821841553814,9.205560158335635,1.0863,1.6346448866479908,0.0,2025-11-01 00:00:00+00:00,180.0
2025-11-20,2025-11-20 12:00:00+00:00,DYM,short,-23.99767303831688,53.99767303831688,339.2890575725255,0.08842018134813347,0.15914946808083985,0.0,2025-11-06 00:00:00+00:00,348.0
2026-01-13,2026-01-13 13:00:00+00:00,IP,short,-31.453666896550793,71.4536668965508,21.610606112684625,1.8509429949084808,3.3064166050673673,0.0,2025-12-26 00:00:00+00:00,445.0
2026-01-26,2026-01-26 08:00:00+00:00,RESOLV,short,-6.883901786902328,16.883901786902328,126.80217592533887,0.078863,0.13315151466204783,0.0,2026-01-15 00:00:00+00:00,272.0
2026-02-11,2026-02-11 21:00:00+00:00,BERA,short,-76.12544208341187,176.12544208341188,185.26546093397485,0.5397660173454465,0.9506652842656932,0.0,2026-01-22 00:00:00+00:00,501.0
2026-02-15,2026-02-15 07:00:00+00:00,VVV,short,-78.50806515950028,178.50806515950026,46.019946288278284,2.172970810821458,3.8789281508780893,0.0,2026-01-30 00:00:00+00:00,391.0
2026-03-02,2026-03-02 16:00:00+00:00,VVV,short,-24.275187663273748,54.74999994556005,7.589815786596434,4.015224234572942,7.213613806312427,0.0,2026-02-16 00:00:00+00:00,352.0
2026-04-16,2026-04-16 00:00:00+00:00,BIO,short,-71.07867196625988,159.85746574637113,4267.6716972422555,0.020802629648733195,0.037457770205161306,0.0,2026-01-13 00:00:00+00:00,2232.0
2026-04-17,2026-04-17 02:00:00+00:00,ZEREBRO,short,-1.4533834386640847e-15,3.4442673408450254e-15,2.2737367544323206e-13,0.008756000000000003,0.015148047961712915,0.0,2025-10-13 00:00:00+00:00,4466.0
2026-05-02,2026-05-02 13:00:00+00:00,BIO,short,-32.6406662471361,72.6406662471361,1227.8130528419538,0.03257824952049021,0.059162643758346276,0.0,2026-04-27 00:00:00+00:00,133.0
2026-05-04,2026-05-04 13:00:00+00:00,TST,short,-2.0769301112754428e-14,4.5274465539267325e-14,1.2505552149377763e-12,0.019595427801828165,0.036203491855831445,0.0,2025-10-10 00:00:00+00:00,4957.0
2026-05-07,2026-05-07 15:00:00+00:00,JTO,short,-68.46322932819305,156.41455774846162,298.2390320142989,0.29490213881881094,0.5244603856579122,0.0,2026-02-21 00:00:00+00:00,1815.0
2026-05-07,2026-05-07 17:00:00+00:00,NIL,short,-41.117660304774304,91.1176603047743,1293.8307964486432,0.03864492956671145,0.07042471129523085,0.0,2026-04-16 00:00:00+00:00,521.0
