time,coin,sz,side,payment,rate
12/22/2025 - 01:00:00,AIXBT,342,Short,0.000125,0.0000125
12/22/2025 - 01:00:00,BNB,0.012,Long,-0.000308,0.0000059946
12/22/2025 - 01:00:00,BTC,0.00012,Long,0.000044,-7.335e-7
12/22/2025 - 01:00:00,ICP,3.3,Short,0.000629,0.0000125
12/22/2025 - 01:00:00,JTO,28,Short,-0.000375,-0.0000372466
12/22/2025 - 01:00:00,ME,45.8,Short,-0.002412,-0.0000490098
12/22/2025 - 01:00:00,TNSR,117.6833333333,Short,-0.00181,-0.000030642
12/22/2025 - 01:00:00,TRX,35.8333333333,Long,-0.000745,0.0000122329
12/22/2025 - 01:00:00,XRP,6,Long,-0.000144,0.0000125
12/23/2025 - 01:00:00,AVAX,0.83,Long,-0.000255,0.0000050492
12/23/2025 - 01:00:00,BNB,0.0125,Long,0.000618,-0.0000024688
12/23/2025 - 01:00:00,BTC,0.000125,Long,-0.001879,0.0000071964
12/23/2025 - 01:00:00,ETC,0.83,Long,0.000185,-0.0000037195
12/23/2025 - 01:00:00,ETH,0.0035,Long,-0.000231,0.0000112804
12/23/2025 - 01:00:00,HMSTR,48310,Short,-0.000641,-0.0000127294
12/23/2025 - 01:00:00,ICP,3.4416666667,Short,0.003088,0.0000125
12/23/2025 - 01:00:00,ME,58.2583333333,Short,-0.010607,-0.0000380391
12/23/2025 - 01:00:00,TNSR,148.125,Short,-0.021699,-0.0000749329
12/23/2025 - 01:00:00,TRX,37.5,Long,-0.001709,0.0000067004
12/23/2025 - 01:00:00,XLM,47,Long,-0.000635,0.0000125
12/24/2025 - 01:00:00,ATOM,5.15,Long,-0.00063,0.0000125
12/24/2025 - 01:00:00,AVAX,0.83,Long,0.000853,-0.0000036018
12/24/2025 - 01:00:00,BNB,0.012,Long,0.001118,-0.0000046532
12/24/2025 - 01:00:00,BTC,0.000145,Long,-0.00369,0.0000121729
12/24/2025 - 01:00:00,ETC,0.83,Long,0.004517,-0.000019047
12/24/2025 - 01:00:00,HMSTR,48310,Short,-0.011086,-0.0000467579
12/24/2025 - 01:00:00,ICP,3.3,Short,0.002853,0.0000121176
12/24/2025 - 01:00:00,ME,106.0583333333,Short,0.003195,0.0000063254
12/24/2025 - 01:00:00,TNSR,264.5541666667,Short,-0.036471,-0.0000724376
12/24/2025 - 01:00:00,TON,6.8,Long,-0.000631,0.0000125
12/24/2025 - 01:00:00,TRX,36,Long,-0.002148,0.0000088341
12/24/2025 - 01:00:00,XLM,47,Long,-0.001227,0.000005101
12/24/2025 - 01:00:00,ZEC,0.03,Short,0.000842,0.0000126403
12/25/2025 - 01:00:00,ATOM,5.15,Long,-0.002733,0.0000111105
12/25/2025 - 01:00:00,AVAX,0.83,Long,-0.003042,0.0000125
12/25/2025 - 01:00:00,BNB,0.0145,Long,0.000208,-7.283e-7
12/25/2025 - 01:00:00,BTC,0.000265,Long,-0.00697,0.0000125
12/25/2025 - 01:00:00,ETC,0.83,Long,0.003527,-0.000014818
12/25/2025 - 01:00:00,HMSTR,48310,Short,-0.000145,-5.603e-7
12/25/2025 - 01:00:00,ICP,3.3,Short,0.003016,0.0000125
12/25/2025 - 01:00:00,ME,155.8833333333,Short,-0.016605,-0.0000214645
12/25/2025 - 01:00:00,MOVE,264,Short,-0.016874,-0.0003345958
12/25/2025 - 01:00:00,TNSR,364.7,Short,-0.154165,-0.0001990714
12/25/2025 - 01:00:00,TON,8.1958333333,Long,-0.003704,0.0000125
12/25/2025 - 01:00:00,TRX,36,Long,-0.000193,7.924e-7
12/25/2025 - 01:00:00,XLM,47,Long,-0.001712,0.0000071439
12/25/2025 - 01:00:00,YGG,152,Short,0.000383,0.0000077038
12/25/2025 - 01:00:00,ZEC,0.03,Short,0.006276,0.0000196174
12/26/2025 - 01:00:00,ATOM,5.15,Long,-0.002799,0.0000112069
12/26/2025 - 01:00:00,AVAX,0.83,Long,-0.00126,0.0000050324
12/26/2025 - 01:00:00,BCH,0.017,Long,-0.000231,0.0000046067
12/26/2025 - 01:00:00,BNB,0.024,Long,0.000705,-0.0000015043
12/26/2025 - 01:00:00,BTC,0.000385,Long,-0.009355,0.0000115201
12/26/2025 - 01:00:00,ETC,0.83,Long,0.007932,-0.0000338548
12/26/2025 - 01:00:00,HMSTR,48310,Short,-0.078383,-0.0002808884
12/26/2025 - 01:00:00,ICP,3.3,Short,0.002968,0.0000125
12/26/2025 - 01:00:00,IP,7,Short,-0.000255,-0.0000050338
12/26/2025 - 01:00:00,ME,204.6375,Short,-0.00913,-0.0000091822
12/26/2025 - 01:00:00,MOVE,324,Short,-0.03923,-0.0001424469
12/26/2025 - 01:00:00,TNSR,364.7,Short,-0.360178,-0.0004866188
12/26/2025 - 01:00:00,TON,14.875,Long,-0.0068,0.0000125
12/26/2025 - 01:00:00,TRX,36,Long,0.000194,-8.181e-7
12/26/2025 - 01:00:00,XLM,47,Long,0.00226,-0.0000094514
12/26/2025 - 01:00:00,YGG,152,Short,-0.005978,-0.0000247916
12/26/2025 - 01:00:00,ZEC,0.03,Short,0.008717,0.0000272695
12/27/2025 - 01:00:00,ALGO,85,Long,-0.000627,0.0000125
12/27/2025 - 01:00:00,ATOM,6.16875,Long,-0.003275,0.0000108395
12/27/2025 - 01:00:00,AVAX,0.83,Long,-0.003094,0.0000125
12/27/2025 - 01:00:00,BANANA,1.4,Short,-0.001505,-0.0000297194
12/27/2025 - 01:00:00,BCH,0.017,Long,-0.002796,0.000011262
12/27/2025 - 01:00:00,BNB,0.024,Long,-0.002994,0.0000061908
12/27/2025 - 01:00:00,BTC,0.000505,Long,-0.013246,0.0000125
12/27/2025 - 01:00:00,ETC,0.83,Long,0.006013,-0.0000257489
12/27/2025 - 01:00:00,HMSTR,57779.7916666667,Short,-0.012802,-0.0000405591
12/27/2025 - 01:00:00,ICP,3.3,Short,0.002997,0.0000125
12/27/2025 - 01:00:00,IP,7,Short,-0.021698,-0.0000855896
12/27/2025 - 01:00:00,ME,244.3,Short,-0.092017,-0.0000753999
12/27/2025 - 01:00:00,MOVE,610.9583333333,Short,-0.126475,-0.0002379374
12/27/2025 - 01:00:00,TNSR,364.7,Short,-0.142837,-0.0001955022
12/27/2025 - 01:00:00,TON,20.1,Long,-0.009482,0.0000125
12/27/2025 - 01:00:00,TRX,36,Long,-0.001224,0.0000050417
12/27/2025 - 01:00:00,XLM,47,Long,-0.000816,0.0000033629
12/27/2025 - 01:00:00,YGG,152,Short,0.000023,2.075e-7
12/27/2025 - 01:00:00,ZEC,0.03,Short,0.005278,0.0000150508
12/28/2025 - 01:00:00,ALGO,85,Long,-0.00305,0.0000125
12/28/2025 - 01:00:00,ATOM,10.04,Long,0.003498,-0.0000070069
12/28/2025 - 01:00:00,AVAX,0.83,Long,-0.002938,0.0000116435
12/28/2025 - 01:00:00,BANANA,2.025,Short,-0.02768,-0.0000800347
12/28/2025 - 01:00:00,BCH,0.023875,Long,-0.001613,0.000004528
12/28/2025 - 01:00:00,BNB,0.024,Long,-0.00612,0.0000125
12/28/2025 - 01:00:00,BTC,0.0006,Long,-0.014628,0.0000115852
12/28/2025 - 01:00:00,ETC,0.83,Long,-0.001974,0.0000081812
12/28/2025 - 01:00:00,HMSTR,93765,Short,0.006035,0.0000123024
12/28/2025 - 01:00:00,ICP,3.3,Short,0.003028,0.0000125
12/28/2025 - 01:00:00,IP,7,Short,0.001577,0.0000060378
12/28/2025 - 01:00:00,MAVIA,388.2,Short,0.001246,0.0000125
12/28/2025 - 01:00:00,ME,244.3,Short,-0.037744,-0.0000308074
12/28/2025 - 01:00:00,MOVE,951.0416666667,Short,-0.028778,-0.0000352491
12/28/2025 - 01:00:00,TNSR,364.7,Short,-0.204467,-0.0002865196
12/28/2025 - 01:00:00,TON,22.6416666667,Long,-0.011107,0.0000125
12/28/2025 - 01:00:00,TRX,51,Long,-0.004337,0.0000125
12/28/2025 - 01:00:00,XLM,47,Long,-0.001702,0.0000067763
12/28/2025 - 01:00:00,YGG,152,Short,0.0028,0.0000117336
12/28/2025 - 01:00:00,ZEC,0.03,Short,0.005505,0.0000146888
12/29/2025 - 01:00:00,ALGO,85,Long,-0.003027,0.000012467
12/29/2025 - 01:00:00,ATOM,10.04,Long,0.006026,-0.0000122787
12/29/2025 - 01:00:00,AVAX,0.83,Long,-0.002255,0.0000088543
12/29/2025 - 01:00:00,BANANA,3.5875,Short,-0.004769,-0.0000076346
12/29/2025 - 01:00:00,BCH,0.0407916667,Long,0.00003,1.3e-7
12/29/2025 - 01:00:00,BNB,0.02025,Long,-0.003264,0.0000117346
12/29/2025 - 01:00:00,BTC,0.00045,Long,-0.008007,0.0000125
12/29/2025 - 01:00:00,ETC,0.83,Long,-0.000176,6.189e-7
12/29/2025 - 01:00:00,HMSTR,93765,Short,0.005925,0.0000125
12/29/2025 - 01:00:00,ICP,3.3,Short,0.00139,0.0000125
12/29/2025 - 01:00:00,IP,7,Short,0.003337,0.0000125
12/29/2025 - 01:00:00,MAVIA,283.0083333333,Short,0.012908,0.0000348769
12/29/2025 - 01:00:00,ME,183.14375,Short,-0.004479,-0.0000072944
12/29/2025 - 01:00:00,MOVE,1299.2916666667,Short,-0.019656,-0.0000177582
12/29/2025 - 01:00:00,STRK,124,Short,0.000619,0.0000125
12/29/2025 - 01:00:00,TNSR,364.7,Short,-0.115611,-0.0003581969
12/29/2025 - 01:00:00,TON,32.3,Long,-0.015961,0.0000125
12/29/2025 - 01:00:00,TRX,85.5,Long,-0.004857,0.0000125
12/29/2025 - 01:00:00,XLM,47,Long,0.000696,-0.0000027947
12/29/2025 - 01:00:00,YGG,152,Short,0.00261,0.0000108823
12/29/2025 - 01:00:00,ZEC,0.03,Short,0.003168,0.0000083596
12/30/2025 - 01:00:00,ALGO,85,Long,-0.002956,0.0000125
12/30/2025 - 01:00:00,ATOM,10.04,Long,-0.000689,0.0000014525
12/30/2025 - 01:00:00,AVAX,0.83,Long,-0.002292,0.0000092476
12/30/2025 - 01:00:00,BANANA,2.9,Short,-0.000287,-6.338e-7
12/30/2025 - 01:00:00,BCH,0.033,Long,-0.005919,0.0000125
12/30/2025 - 01:00:00,BNB,0.0145,Long,-0.003718,0.0000125
12/30/2025 - 01:00:00,BTC,0.000145,Long,-0.003734,0.0000122446
12/30/2025 - 01:00:00,EIGEN,27.48,Short,-0.003692,-0.0000746015
12/30/2025 - 01:00:00,ETC,0.83,Long,0.001898,-0.0000079978
12/30/2025 - 01:00:00,GMT,614,Short,0.000614,0.0000125
12/30/2025 - 01:00:00,HMSTR,93765,Short,0.005863,0.0000125
12/30/2025 - 01:00:00,IP,7,Short,0.003194,0.0000125
12/30/2025 - 01:00:00,MAVIA,194,Short,0.006091,0.0000229245
12/30/2025 - 01:00:00,ME,48.6,Short,0.000115,5.036e-7
12/30/2025 - 01:00:00,MOVE,1395,Short,0.009911,0.0000085692
12/30/2025 - 01:00:00,STRK,150.25,Short,0.002617,0.0000091027
12/30/2025 - 01:00:00,TON,32.3,Long,-0.01551,0.0000125
12/30/2025 - 01:00:00,TRX,43.5,Long,-0.003718,0.0000125
12/30/2025 - 01:00:00,XLM,47,Long,0.003271,-0.0000136263
12/30/2025 - 01:00:00,YGG,152,Short,0.002368,0.0000101853
12/30/2025 - 01:00:00,ZEC,0.03,Short,0.002921,0.0000076007
12/31/2025 - 01:00:00,AIXBT,303,Short,0.000633,0.0000125
12/31/2025 - 01:00:00,ALGO,85,Long,-0.002865,0.0000125
12/31/2025 - 01:00:00,ATOM,10.04,Long,0.011942,-0.0000253949
12/31/2025 - 01:00:00,AVAX,0.83,Long,-0.002162,0.0000086694
