time,coin,dir,px,sz,ntl,fee,closedPnl
12/22/2025 - 10:49:40,BTC,Open Long,89625,0.00012,10.755,0.004839,-0.004839
12/22/2025 - 10:50:56,BTC,Close Long,89657,0.00012,10.758840000000001,0.004841,-0.0010009999999999997
12/22/2025 - 11:20:58,BTC,Open Long,89669,0.00012,10.76028,0.004842,-0.004842
12/22/2025 - 11:21:00,TRX,Open Long,0.28692,35,10.042200000000001,0.004518,-0.004518
12/22/2025 - 11:21:04,XRP,Open Long,1.9239,6,11.5434,0.005194,-0.005194
12/22/2025 - 11:21:06,TNSR,Open Short,0.086,116.3,10.0018,0.0045,-0.0045
12/22/2025 - 11:21:08,AIXBT,Open Short,0.029246,342,10.002132,0.0045,-0.0045
12/22/2025 - 11:21:10,JTO,Open Short,0.35996,28,10.07888,0.004535,-0.004535
12/22/2025 - 11:21:54,BTC,Close Long,89673,0.00012,10.76076,0.004842,-0.0043619999999999996
12/22/2025 - 11:21:54,XRP,Close Long,1.9221,6,11.532599999999999,0.005189,-0.015989
12/22/2025 - 11:21:54,TRX,Close Long,0.2869,35,10.0415,0.004518,-0.005218
12/22/2025 - 11:21:54,JTO,Close Short,0.36012,28,10.083359999999999,0.004537,-0.009017
12/22/2025 - 11:21:54,TNSR,Close Short,0.08603,116.3,10.005289,0.004502,-0.007991
12/22/2025 - 11:21:54,AIXBT,Close Short,0.02924,342,10.000079999999999,0.0045,-0.0024479999999999997
12/22/2025 - 11:34:03,BTC,Open Long,89690,0.00012,10.7628,0.004843,-0.004843
12/22/2025 - 11:34:06,TRX,Open Long,0.28641,35,10.02435,0.00451,-0.00451
12/22/2025 - 11:34:09,XRP,Open Long,1.927,6,11.562000000000001,0.005202,-0.005202
12/22/2025 - 11:34:12,TNSR,Open Short,0.08614,116.1,10.000853999999999,0.0045,-0.0045
12/22/2025 - 11:34:14,AIXBT,Open Short,0.02924,342,10.000079999999999,0.0045,-0.0045
12/22/2025 - 11:34:17,JTO,Open Short,0.35976,28,10.07328,0.004532,-0.004532
12/22/2025 - 12:08:18,BTC,Close Long,89791,0.00012,10.77492,0.004848,0.007272000000000001
12/22/2025 - 12:08:18,XRP,Close Long,1.9274,6,11.5644,0.005203,-0.0028030000000000004
12/22/2025 - 12:08:18,TRX,Close Long,0.2858,35,10.003,0.004501,-0.025851
12/22/2025 - 12:08:18,JTO,Close Short,0.35997,28,10.07916,0.004535,-0.010415
12/22/2025 - 12:08:18,TNSR,Close Short,0.08692,116.1,10.091412,0.004541,-0.095099
12/22/2025 - 12:08:18,AIXBT,Close Short,0.029268,342,10.009656,0.004504,-0.014079999999999999
12/22/2025 - 19:03:18,BTC,Open Long,89358,0.00012,10.72296,0.004825,-0.004825
12/22/2025 - 19:03:21,TRX,Open Long,0.2849,36,10.2564,0.004615,-0.004615
12/22/2025 - 19:03:24,BNB,Open Long,867.58,0.012,10.410960000000001,0.004684,-0.004684
12/22/2025 - 19:03:27,TNSR,Open Short,0.08476,118,10.00168,0.0045,-0.0045
12/22/2025 - 19:03:30,ME,Open Short,0.21864,45.8,10.013712,0.004506,-0.004506
12/22/2025 - 19:03:32,ICP,Open Short,3.0927,3.3,10.20591,0.004592,-0.004592
12/23/2025 - 11:58:35,BTC,Open Long,87591,0.00012,10.51092,0.004729,-0.004729
12/23/2025 - 11:58:38,TRX,Open Long,0.28394,36,10.22184,0.004599,-0.004599
12/23/2025 - 11:58:41,BNB,Open Long,850.98,0.012,10.21176,0.004595,-0.004595
12/23/2025 - 11:58:44,TNSR,Open Short,0.08201,122,10.00522,0.004502,-0.004502
12/23/2025 - 11:58:46,ME,Open Short,0.20018,50,10.009,0.004504,-0.004504
12/23/2025 - 11:58:49,ICP,Open Short,2.9801,3.4,10.132340000000001,0.004559,-0.004559
12/23/2025 - 12:13:27,BTC,Close Long,87660,0.00012,10.5192,0.004733,-0.102473
12/23/2025 - 12:15:21,ME,Close Short,0.20051,50,10.0255,0.004511,0.419989
12/23/2025 - 12:15:57,TNSR,Close Short,0.08216,122,10.02352,0.00451,0.14189000000000002
12/23/2025 - 12:16:22,TRX,Close Long,0.28377,36,10.215720000000001,0.004597,-0.027997
12/23/2025 - 12:16:48,BNB,Close Long,851.25,0.012,10.215,0.004596,-0.100956
12/23/2025 - 12:17:48,ICP,Close Short,2.9868,3.4,10.15512,0.004569,0.16118100000000002
12/23/2025 - 12:27:10,ETH,Open Long,2968.1,0.0034,10.091539999999998,0.004541,-0.004541
12/23/2025 - 12:28:00,ETH,Close Long,2968,0.0034,10.091199999999999,0.004541,-0.004881
12/23/2025 - 12:59:40,ETH,Open Long,2972.1,0.0035,10.40235,0.004681,-0.004681
12/23/2025 - 13:00:07,ETH,Open Long,2972.1,0.0036,10.69956,0.004814,-0.004814
12/23/2025 - 13:15:20,ETH,Close Long,2966.3,0.0071,21.060730000000003,0.009477,-0.050657
12/23/2025 - 15:10:15,ETH,Open Long,2945.7,0.0034,10.015379999999999,0.004506,-0.004506
12/23/2025 - 15:15:48,ETH,Close Long,2942.7,0.0034,10.00518,0.004502,-0.014702
