token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur
APT,LONG,2025-06-05,2025-07-05,4.7207,4.3562,4.72400449,4.35315066,4.285714285714286,-0.07850412309832494,0.0038571428571428567,-0.34030338470710686
CHILLGUY,LONG,2025-06-05,2025-07-05,0.058855,0.051417,0.05889619849999999,0.05138100809999999,4.285714285714286,-0.12760060226977124,0.0038571428571428567,-0.5507168668704482
MERL,LONG,2025-06-05,2025-07-05,0.10214,0.098491,0.10221149799999998,0.09842205629999999,4.285714285714286,-0.037074514845678065,0.0038571428571428567,-0.16274792076719172
CAKE,LONG,2025-06-05,2025-07-05,2.3606,2.2092,2.3622524199999995,2.20765356,4.285714285714286,-0.06544552931392476,0.0038571428571428567,-0.2843379827739632
OM,SHORT,2025-06-05,2025-07-05,0.30332,0.20284,0.303107676,0.20298198799999997,4.285714285714286,0.3303304268678436,0.0038571428571428567,1.4118446865764724
S,SHORT,2025-06-05,2025-07-05,0.38173,0.30309,0.381462789,0.303302163,4.285714285714286,0.2048971177631693,0.0038571428571428567,0.8742733618421541
LAYER,SHORT,2025-06-05,2025-07-05,0.76296,0.62096,0.762425928,0.6213946719999999,4.285714285714286,0.18497699359458314,0.0038571428571428567,0.788901401119642
APT,LONG,2025-06-06,2025-07-06,4.5977,4.4512,4.6009183899999995,4.44808416,6.0,-0.033218200594946845,0.0054,-0.20470920356968106
GMX,LONG,2025-06-06,2025-07-06,15.08,13.994,15.090556,13.984204199999999,6.0,-0.07331418404994491,0.0054,-0.4452851042996695
TRX,LONG,2025-06-06,2025-07-06,0.27715,0.28586,0.277344005,0.28565989799999997,6.0,0.029984037332986387,0.0054,0.17450422399791835
SOPH,LONG,2025-06-06,2025-07-06,0.048903,0.031212,0.0489372321,0.0311901516,6.0,-0.362649862659478,0.0054,-2.181299175956868
OM,SHORT,2025-06-06,2025-07-06,0.29606,0.20723,0.295852758,0.20737506099999997,6.0,0.29905990262899634,0.0054,1.7889594157739779
BTC,LONG,2025-06-07,2025-07-07,105557.0,108054.0,105630.8899,107978.3622,3.75,0.02222335059585642,0.003375,0.07996256473446157
ADA,LONG,2025-06-07,2025-07-07,0.66259,0.57963,0.663053813,0.579224259,3.75,-0.12642948785817484,0.003375,-0.4774855794681557
BNB,LONG,2025-06-07,2025-07-07,650.61,660.33,651.065427,659.8677690000001,3.75,0.013519903891318233,0.003375,0.04732463959244337
RENDER,LONG,2025-06-07,2025-07-07,3.8456,3.1546,3.84829192,3.15239178,3.75,-0.18083351119579308,0.003375,-0.6815006669842241
LINK,LONG,2025-06-07,2025-07-07,13.789,13.419,13.798652299999999,13.4096067,3.75,-0.02819446359989804,0.003375,-0.10910423849961766
OM,SHORT,2025-06-07,2025-07-07,0.3029,0.20625,0.30268797,0.20639437499999996,3.75,0.31812825266891187,0.003375,1.1896059475084195
MAVIA,SHORT,2025-06-07,2025-07-07,0.16055,0.13111,0.160437615,0.131201777,3.75,0.18222558344562784,0.003375,0.6799709379211044
VIRTUAL,SHORT,2025-06-07,2025-07-07,1.8252,1.4903,1.8239223599999999,1.49134321,3.75,0.1823428218731854,0.003375,0.6804105820244453
VVV,LONG,2025-06-08,2025-07-08,2.9616,2.7609,2.9636731199999997,2.7589673699999997,3.75,-0.06907163567350506,0.003375,-0.262393633775644
GMX,LONG,2025-06-08,2025-07-08,15.86,14.151,15.871101999999999,14.141094299999999,3.75,-0.10900362810345494,0.003375,-0.41213860538795605
RENDER,LONG,2025-06-08,2025-07-08,3.8775,3.2213,3.88021425,3.21904509,3.75,-0.17039501362585843,0.003375,-0.6423563010969692
INJ,LONG,2025-06-08,2025-07-08,13.41,10.567,13.419386999999999,10.5596031,3.75,-0.21310838565129678,0.003375,-0.8025314461923629
APT,LONG,2025-06-08,2025-07-08,4.7518,4.4685,4.75512626,4.465372049999999,3.75,-0.06093512435987363,0.003375,-0.23188171634952612
MAVIA,SHORT,2025-06-08,2025-07-08,0.16085,0.13293,0.160737405,0.13302305099999998,3.75,0.17242006613208682,0.003375,0.6432002479953256
GOAT,SHORT,2025-06-08,2025-07-08,0.12305,0.10106,0.122963865,0.101130742,3.75,0.17755722788967318,0.003375,0.6624646045862744
MOVE,SHORT,2025-06-08,2025-07-08,0.14468,0.15006,0.144578724,0.150165042,3.75,-0.03863858972776663,0.003375,-0.14826971147912485
APT,LONG,2025-06-09,2025-07-09,4.8352,4.5563,4.83858464,4.55311059,3.75,-0.05899949494321536,0.003375,-0.2246231060370576
AVAX,LONG,2025-06-09,2025-07-09,21.338,18.645,21.3529366,18.6319485,3.75,-0.127429222077117,0.003375,-0.48123458278918874
INJ,LONG,2025-06-09,2025-07-09,13.614,10.611,13.6235298,10.6035723,3.75,-0.2216721763254043,0.003375,-0.8346456612202662
MERL,LONG,2025-06-09,2025-07-09,0.098946,0.10845,0.0990152622,0.108374085,3.75,0.09451899224481375,0.003375,0.35107122091805154
BTC,LONG,2025-06-09,2025-07-09,108459.0,109557.0,108534.92129999999,109480.3101,3.75,0.008710457322642527,0.003375,0.029289214959909476
OM,SHORT,2025-06-09,2025-07-09,0.30095,0.20465,0.300739335,0.20479325499999998,3.75,0.3190340232680238,0.003375,1.1930025872550893
FXS,SHORT,2025-06-09,2025-07-09,2.7689,2.0465,2.76696177,2.0479325499999996,3.75,0.2598623615967055,0.003375,0.9711088559876456
MOVE,SHORT,2025-06-09,2025-07-09,0.15394,0.14553,0.15383224199999998,0.14563187099999997,3.75,0.053307231913060284,0.003375,0.19652711967397607
APT,LONG,2025-06-10,2025-07-10,5.0692,4.7054,5.07274844,4.70210622,3.75,-0.07306536572509394,0.003375,-0.2773701214691023
GMX,LONG,2025-06-10,2025-07-10,17.628,11.434,17.640339599999997,11.425996199999998,3.75,-0.35228025882222813,0.003375,-1.3244259705833554
RUNE,LONG,2025-06-10,2025-07-10,1.7406,1.454,1.7418184199999998,1.4529822,3.75,-0.16582452951668744,0.003375,-0.6252169856875779
